"Name","SamAccountName","GroupCategory","GroupScope","Description","ManagedBy","whenCreated","DistinguishedName"
"External Trust Accounts","External Trust Accounts","Security","Global","All external trust accounts in the domain.",,"3/3/2026 11:37:33 PM","CN=External Trust Accounts,CN=Users,DC=corp,DC=azureuser,DC=org"
"Forest Trust Accounts","Forest Trust Accounts","Security","Global","All forest trust accounts in the forest.",,"3/3/2026 11:37:33 PM","CN=Forest Trust Accounts,CN=Users,DC=corp,DC=azureuser,DC=org"
"GG_Domain_Admins","GG_Domain_Admins","Security","Global","Access to Domain controllers",,"3/17/2026 2:54:04 PM","CN=GG_Domain_Admins,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Executives","GG_Executives","Security","Global","Executive user grouping",,"3/4/2026 12:38:15 PM","CN=GG_Executives,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Finance_Users","GG_Finance_Users","Security","Global","Finance resource access",,"3/4/2026 12:38:15 PM","CN=GG_Finance_Users,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Helpdesk_LocalAdmins","GG_Helpdesk_LocalAdmins","Security","Global","Delegated workstation support",,"3/4/2026 12:38:16 PM","CN=GG_Helpdesk_LocalAdmins,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_HR_Users","GG_HR_Users","Security","Global","HR resource access",,"3/4/2026 12:38:15 PM","CN=GG_HR_Users,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_IT_Infrastructure","GG_IT_Infrastructure","Security","Global","Infrastructure staff access",,"3/4/2026 12:38:15 PM","CN=GG_IT_Infrastructure,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_IT_Security","GG_IT_Security","Security","Global","Security team access",,"3/4/2026 12:38:15 PM","CN=GG_IT_Security,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_IT_Support","GG_IT_Support","Security","Global","Help desk and endpoint support",,"3/4/2026 12:38:15 PM","CN=GG_IT_Support,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"gg_network_admins","gg_network_admins","Security","Global","Network device and firewall administration",,"3/4/2026 12:38:15 PM","CN=gg_network_admins,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Network_readonly","GG_Network_readonly","Security","Global",,,"4/6/2026 10:21:55 PM","CN=GG_Network_readonly,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Operations_Users","GG_Operations_Users","Security","Global","Operations resource access",,"3/4/2026 12:38:15 PM","CN=GG_Operations_Users,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Sales_Users","GG_Sales_Users","Security","Global","Sales resource access",,"3/4/2026 12:38:15 PM","CN=GG_Sales_Users,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Server_Admins","GG_Server_Admins","Security","Global","Server administration rights",,"3/4/2026 12:38:15 PM","CN=GG_Server_Admins,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Service_Backup","GG_Service_Backup","Security","Global","Permissions for backup jobs",,"3/4/2026 12:38:16 PM","CN=GG_Service_Backup,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Service_Deploy","GG_Service_Deploy","Security","Global","Permissions for deployment tools",,"3/4/2026 12:38:16 PM","CN=GG_Service_Deploy,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Service_Join","GG_Service_Join","Security","Global","Delegated domain join permissions",,"3/4/2026 12:38:16 PM","CN=GG_Service_Join,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Service_Wazuh","GG_Service_Wazuh","Security","Global","Permissions for Wazuh service",,"3/4/2026 12:38:16 PM","CN=GG_Service_Wazuh,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_Service_Zabbix","GG_Service_Zabbix","Security","Global","Permissions for Zabbix service",,"3/4/2026 12:38:16 PM","CN=GG_Service_Zabbix,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_SIEM_Admins","GG_SIEM_Admins","Security","Global","Zabbix and Wazuh administration",,"3/4/2026 12:38:15 PM","CN=GG_SIEM_Admins,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"GG_workstation_admins","GG_workstation_admins","Security","Global","Delegated workstation admins",,"4/4/2026 1:26:28 AM","CN=GG_workstation_admins,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"Group Policy Creator Owners","Group Policy Creator Owners","Security","Global","Members in this group can modify group policy for the domain",,"3/3/2026 11:37:30 PM","CN=Group Policy Creator Owners,CN=Users,DC=corp,DC=azureuser,DC=org"
"Guests","Guests","Security","DomainLocal","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted",,"3/3/2026 11:34:16 PM","CN=Guests,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Hyper-V Administrators","Hyper-V Administrators","Security","DomainLocal","Members of this group have complete and unrestricted access to all features of Hyper-V.",,"3/3/2026 11:34:16 PM","CN=Hyper-V Administrators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"IIS_IUSRS","IIS_IUSRS","Security","DomainLocal","Built-in group used by Internet Information Services.",,"3/3/2026 11:34:16 PM","CN=IIS_IUSRS,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Incoming Forest Trust Builders","Incoming Forest Trust Builders","Security","DomainLocal","Members of this group can create incoming, one-way trusts to this forest",,"3/3/2026 11:37:30 PM","CN=Incoming Forest Trust Builders,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Key Admins","Key Admins","Security","Global","Members of this group can perform administrative actions on key objects within the domain.",,"3/3/2026 11:37:32 PM","CN=Key Admins,CN=Users,DC=corp,DC=azureuser,DC=org"
"Network Configuration Operators","Network Configuration Operators","Security","DomainLocal","Members in this group can have some administrative privileges to manage configuration of networking features",,"3/3/2026 11:34:16 PM","CN=Network Configuration Operators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"OpenSSH Users","OpenSSH Users","Security","DomainLocal","Members of this group may connect to this computer using SSH.",,"3/3/2026 11:34:16 PM","CN=OpenSSH Users,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Performance Log Users","Performance Log Users","Security","DomainLocal","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer",,"3/3/2026 11:34:16 PM","CN=Performance Log Users,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Performance Monitor Users","Performance Monitor Users","Security","DomainLocal","Members of this group can access performance counter data locally and remotely",,"3/3/2026 11:34:16 PM","CN=Performance Monitor Users,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Pre-Windows 2000 Compatible Access","Pre-Windows 2000 Compatible Access","Security","DomainLocal","A backward compatibility group which allows read access on all users and groups in the domain",,"3/3/2026 11:37:30 PM","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Print Operators","Print Operators","Security","DomainLocal","Members can administer printers installed on domain controllers",,"3/3/2026 11:34:16 PM","CN=Print Operators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Protected Users","Protected Users","Security","Global","Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.",,"3/3/2026 11:37:32 PM","CN=Protected Users,CN=Users,DC=corp,DC=azureuser,DC=org"
"RAS and IAS Servers","RAS and IAS Servers","Security","DomainLocal","Servers in this group can access remote access properties of users",,"3/3/2026 11:37:30 PM","CN=RAS and IAS Servers,CN=Users,DC=corp,DC=azureuser,DC=org"
"RDS Endpoint Servers","RDS Endpoint Servers","Security","DomainLocal","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.",,"3/3/2026 11:34:16 PM","CN=RDS Endpoint Servers,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"RDS Management Servers","RDS Management Servers","Security","DomainLocal","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.",,"3/3/2026 11:34:16 PM","CN=RDS Management Servers,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"RDS Remote Access Servers","RDS Remote Access Servers","Security","DomainLocal","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.",,"3/3/2026 11:34:16 PM","CN=RDS Remote Access Servers,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Read-only Domain Controllers","Read-only Domain Controllers","Security","Global","Members of this group are Read-Only Domain Controllers in the domain",,"3/3/2026 11:37:32 PM","CN=Read-only Domain Controllers,CN=Users,DC=corp,DC=azureuser,DC=org"
"Remote Desktop Users","Remote Desktop Users","Security","DomainLocal","Members in this group are granted the right to logon remotely",,"3/3/2026 11:34:16 PM","CN=Remote Desktop Users,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Remote Management Users","Remote Management Users","Security","DomainLocal","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.",,"3/3/2026 11:34:16 PM","CN=Remote Management Users,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Replicator","Replicator","Security","DomainLocal","Supports file replication in a domain",,"3/3/2026 11:34:16 PM","CN=Replicator,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Schema Admins","Schema Admins","Security","Universal","Designated administrators of the schema",,"3/3/2026 11:37:30 PM","CN=Schema Admins,CN=Users,DC=corp,DC=azureuser,DC=org"
"Server Operators","Server Operators","Security","DomainLocal","Members can administer domain servers",,"3/3/2026 11:37:30 PM","CN=Server Operators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Storage Replica Administrators","Storage Replica Administrators","Security","DomainLocal","Members of this group have complete and unrestricted access to all features of Storage Replica.",,"3/3/2026 11:34:16 PM","CN=Storage Replica Administrators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Terminal Server License Servers","Terminal Server License Servers","Security","DomainLocal","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage",,"3/3/2026 11:37:30 PM","CN=Terminal Server License Servers,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Users","Users","Security","DomainLocal","Users are prevented from making accidental or intentional system-wide changes and can run most applications",,"3/3/2026 11:34:16 PM","CN=Users,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Windows Authorization Access Group","Windows Authorization Access Group","Security","DomainLocal","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects",,"3/3/2026 11:37:30 PM","CN=Windows Authorization Access Group,CN=Builtin,DC=corp,DC=azureuser,DC=org"
